tweets,label
"['trus', 'nih', 'yg', 'nanya', 'gak', 'bangun', 'papua', 'aja', 'provinsi', 'timur', 'indonesia', 'milik', 'infrastruktur', 'fasilitas', 'olah', 'lanjut', 'pada', 'freepo']",Non_R
"['play', 'let', 'the', 'fun', 'begin', 'like', 'rt', 'click', 'https', 'www', 'reddeergames', 'com', 'did', 'you', 'see', 'it', 'pic', 'twitter', 'com', 'a', 'ef', 'ixr']",Non_R
"['papua', 'nkri', 'dukungotsuspapuamaju']",Non_R
"['akar', 'konflik', 'bicara', 'cari', 'titik', 'temu', 'selesai', 'sy', 'sy', 'papua', 'sambut', 'dgn', 'nyanyi', 'rohani', 'sejuk', 'sy', 'tuhan', 'yesus', 'kristus', 'dipapua', 'moga', 'buruk', 'dr', 'mana', 'tdk', 'tym', 'papua']",Non_R
"['orang', 'papua', 'ainya', 'kulit', 'hitam', 'kulit', 'putih', 'rambut', 'keriting', 'rambut', 'lurus', 'mata', 'sipit', 'mata', 'nyala', 'indonesia', 'to', 'edo', 'kondologit', 'dukungotsuspapuamaju', 'pic', 'twitter', 'com', 'ormksc', 'bvw']",Non_R
"['kasi', 'ujung', 'nya', 'mrk', 'jdi', 'kurir', 'politik', 'ats', 'nama', 'bela', 'nduga', 'papua']",Non_R
"['ssb', 'united', 'sentani', 'juara', 'i', 'sepak', 'bola', 'pangdam', 'cup', 'https', 'kabarpapua', 'co', 'ssb', 'united', 'sentani', 'juara', 'i', 'sepak', 'bola', 'pangdam', 'cup']",Non_R
"['vk', 'hasil', 'serah', 'papua', 'majikan', 'cina', 'nya', 'imigran', 'cina', 'alir', 'deras', 'jarah', 'sejati', 'yg', 'org', 'cina', 'laku', 'genosida', 'beneran', 'cina', 'oap', 'oap', 'sesal', 'kenal', 'vk']",R
"['ni', 'diskriminasi', 'orang', 'papua', 'kait', 'tega', 'hukum', 'tunggu', 'lapor', 'propam']",Non_R
"['vidio', 'bokep', 'papua']",Non_R
"['papua', 'indonesia', 'lho', 'https', 'twitter', 'com', 'embun', 'status']",Non_R
"['see', 'you', 'next', 'time', 'again', 'pulau', 'raja', 'ampat', 'terima', 'kasih', 'indah', 'mu', 'sentani', 'airpo', 'jayapura', 'papua', 'pic', 'twitter', 'com', 'fcsiefas', 'x']",Non_R
